               WD01/DL07 grain model for R_V=3.1, q_PAH=0.046
 2.000E-03 = a1 (um)
 2.000E-02 = a2 (um)
                              sigma_abs (um^2/H)
           --------- carbon -----------  -------- silicate ----------
lambda      a<a1     a1<a<a2    a2<a      a<a1     a1<a<a2    a2<a 
 (um)     (um^2/H)  (um^2/H)  (um^2/H)  (um^2/H)  (um^2/H)  (um^2/H) 
1.000E-01 5.153E-14 2.141E-14 1.210E-14 3.695E-15 2.829E-14 3.620E-14
1.009E-01 5.037E-14 2.084E-14 1.214E-14 3.576E-15 2.773E-14 3.628E-14
1.019E-01 4.921E-14 2.028E-14 1.218E-14 3.452E-15 2.713E-14 3.637E-14
1.028E-01 4.804E-14 1.969E-14 1.222E-14 3.320E-15 2.646E-14 3.646E-14
1.038E-01 4.688E-14 1.904E-14 1.226E-14 3.182E-15 2.571E-14 3.655E-14
1.047E-01 4.572E-14 1.837E-14 1.229E-14 3.049E-15 2.496E-14 3.665E-14
1.057E-01 4.456E-14 1.768E-14 1.232E-14 2.936E-15 2.429E-14 3.673E-14
1.067E-01 4.341E-14 1.699E-14 1.236E-14 2.836E-15 2.367E-14 3.682E-14
1.076E-01 4.228E-14 1.632E-14 1.241E-14 2.745E-15 2.308E-14 3.690E-14
1.086E-01 4.115E-14 1.565E-14 1.247E-14 2.658E-15 2.252E-14 3.697E-14
1.096E-01 4.004E-14 1.503E-14 1.252E-14 2.577E-15 2.198E-14 3.705E-14
1.107E-01 3.894E-14 1.447E-14 1.257E-14 2.499E-15 2.145E-14 3.712E-14
1.117E-01 3.787E-14 1.396E-14 1.265E-14 2.426E-15 2.094E-14 3.718E-14
1.127E-01 3.681E-14 1.348E-14 1.274E-14 2.355E-15 2.045E-14 3.725E-14
1.138E-01 3.577E-14 1.300E-14 1.283E-14 2.287E-15 1.996E-14 3.731E-14
1.148E-01 3.474E-14 1.252E-14 1.293E-14 2.223E-15 1.949E-14 3.736E-14
1.159E-01 3.374E-14 1.207E-14 1.296E-14 2.160E-15 1.903E-14 3.742E-14
1.169E-01 3.276E-14 1.163E-14 1.298E-14 2.099E-15 1.858E-14 3.747E-14
1.180E-01 3.180E-14 1.122E-14 1.298E-14 2.041E-15 1.813E-14 3.752E-14
1.191E-01 3.086E-14 1.080E-14 1.297E-14 1.985E-15 1.770E-14 3.756E-14
1.202E-01 2.995E-14 1.040E-14 1.295E-14 1.930E-15 1.727E-14 3.760E-14
1.213E-01 2.906E-14 1.000E-14 1.292E-14 1.878E-15 1.685E-14 3.764E-14
