          WD01/DL07 grain model for R_V=3.1, q_PAH=0.046
 2.000E-03 = a1 (um)
 2.000E-02 = a2 (um)
                              sigma_ext (um^2/H)
           --------- carbon -----------  -------- silicate ----------
lambda      a<a1     a1<a<a2    a2<a      a<a1     a1<a<a2    a2<a 
 (um)     (um^2/H)  (um^2/H)  (um^2/H)  (um^2/H)  (um^2/H)  (um^2/H) 
1.000E-01 5.154E-14 2.474E-14 2.677E-14 3.697E-15 3.377E-14 7.013E-14
1.009E-01 5.038E-14 2.409E-14 2.676E-14 3.577E-15 3.316E-14 7.029E-14
1.019E-01 4.921E-14 2.345E-14 2.677E-14 3.454E-15 3.250E-14 7.044E-14
1.028E-01 4.805E-14 2.279E-14 2.679E-14 3.322E-15 3.174E-14 7.057E-14
1.038E-01 4.688E-14 2.208E-14 2.681E-14 3.183E-15 3.089E-14 7.068E-14
1.047E-01 4.572E-14 2.133E-14 2.684E-14 3.050E-15 3.003E-14 7.077E-14
1.057E-01 4.457E-14 2.055E-14 2.687E-14 2.937E-15 2.923E-14 7.083E-14
1.067E-01 4.342E-14 1.974E-14 2.686E-14 2.837E-15 2.847E-14 7.088E-14
1.076E-01 4.228E-14 1.893E-14 2.684E-14 2.745E-15 2.775E-14 7.092E-14
1.086E-01 4.115E-14 1.809E-14 2.677E-14 2.659E-15 2.706E-14 7.097E-14
1.096E-01 4.004E-14 1.733E-14 2.671E-14 2.578E-15 2.640E-14 7.103E-14
1.107E-01 3.895E-14 1.664E-14 2.666E-14 2.500E-15 2.576E-14 7.109E-14
1.117E-01 3.787E-14 1.601E-14 2.663E-14 2.426E-15 2.514E-14 7.114E-14
1.127E-01 3.681E-14 1.539E-14 2.662E-14 2.356E-15 2.453E-14 7.120E-14
1.138E-01 3.577E-14 1.478E-14 2.661E-14 2.288E-15 2.393E-14 7.126E-14
1.148E-01 3.474E-14 1.416E-14 2.660E-14 2.223E-15 2.336E-14 7.132E-14
1.159E-01 3.374E-14 1.361E-14 2.658E-14 2.160E-15 2.279E-14 7.138E-14
1.169E-01 3.276E-14 1.308E-14 2.655E-14 2.100E-15 2.223E-14 7.144E-14
1.180E-01 3.180E-14 1.258E-14 2.652E-14 2.042E-15 2.169E-14 7.150E-14
1.191E-01 3.086E-14 1.207E-14 2.648E-14 1.985E-15 2.115E-14 7.155E-14
1.202E-01 2.995E-14 1.158E-14 2.643E-14 1.931E-15 2.063E-14 7.161E-14
1.213E-01 2.906E-14 1.110E-14 2.638E-14 1.878E-15 2.012E-14 7.167E-14
